index,Player,RECEIVING REC,RECEIVING YDS,RECEIVING TDS,MISC FL,MISC FPTS,Position,PASSING ATT,PASSING CMP,PASSING YDS,PASSING TDS,PASSING INTS,RUSHING ATT,RUSHING YDS,RUSHING TDS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS,FG,FGA,XPT
59,Geronimo Allison,3.1,43.3,0.2,0.1,8.4,wr,,,,,,0.1,0.5,0.0,,,,,,,,,8.4,,,
60,Trey Quinn,3.7,38.6,0.1,0.0,8.3,wr,,,,,,0.2,1.2,0.0,,,,,,,,,8.3,,,
61,Bennie Fowler,3.6,37.2,0.1,0.0,8.2,wr,,,,,,0.1,1.0,0.0,,,,,,,,,8.2,,,
62,Taylor Gabriel,3.2,38.0,0.1,0.0,8.1,wr,,,,,,0.5,3.9,0.0,,,,,,,,,8.1,,,
63,Devante Parker,3.1,44.1,0.1,0.0,7.9,wr,,,,,,0.0,0.0,0.0,,,,,,,,,7.9,,,
64,Devin Smith,2.8,41.6,0.2,0.0,7.9,wr,,,,,,0.0,0.3,0.0,,,,,,,,,7.9,,,
65,J.J. Arcega-Whiteside,3.1,40.1,0.1,0.0,7.8,wr,,,,,,0.1,0.4,0.0,,,,,,,,,7.8,,,
66,Hunter Renfrow,3.6,37.6,0.1,0.1,7.8,wr,,,,,,0.0,0.2,0.0,,,,,,,,,7.8,,,
67,Ted Ginn,3.0,40.8,0.1,0.0,7.8,wr,,,,,,0.3,1.8,0.0,,,,,,,,,7.8,,,
68,Preston Williams,2.9,37.7,0.1,0.0,7.3,wr,,,,,,0.1,0.4,0.0,,,,,,,,,7.3,,,
69,Paul Richardson,2.9,35.0,0.1,0.0,7.3,wr,,,,,,0.1,0.5,0.0,,,,,,,,,7.3,,,
70,Mack Hollins,2.6,35.1,0.1,0.0,7.0,wr,,,,,,0.1,0.5,0.0,,,,,,,,,7.0,,,
71,Breshad Perriman,2.5,36.6,0.1,0.0,7.0,wr,,,,,,0.2,1.1,0.0,,,,,,,,,7.0,,,
72,Damiere Byrd,2.8,33.3,0.1,0.0,6.8,wr,,,,,,0.0,0.1,0.0,,,,,,,,,6.8,,,
73,Diontae Johnson,2.6,35.8,0.1,0.0,6.7,wr,,,,,,0.0,0.2,0.0,,,,,,,,,6.7,,,
74,Kenny Stills,2.4,33.9,0.1,0.0,6.6,wr,,,,,,0.0,0.0,0.0,,,,,,,,,6.6,,,
75,A.J. Brown,2.5,36.4,0.1,0.0,6.6,wr,,,,,,0.1,1.0,0.0,,,,,,,,,6.6,,,
76,Willie Snead,2.5,32.8,0.1,0.0,6.4,wr,,,,,,0.1,0.4,0.0,,,,,,,,,6.4,,,
77,David Moore,2.1,31.0,0.2,0.0,6.4,wr,,,,,,0.0,0.2,0.0,,,,,,,,,6.4,,,
