week,name,projected_points,actual_points,point_diff,pro_team,position,position_rank,weekly_outlook,receptions,rec_yards,rec_tds,rec_2pt_conversion,targets,rec_avg_yards,fumbles,receptions_proj,rec_yards_proj,rec_tds_proj,rec_2pt_conversion_proj,targets_proj,rec_avg_yards_proj,fumbles_proj
13,Bennie Fowler,0.0,0.0,0.0,NYG,WR,109,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Tajae Sharpe,0.0,0.0,0.0,TEN,WR,82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Mack Hollins,0.0,0.0,0.0,MIA,WR,139,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Tremon Smith,0.14,0.0,-0.14,GB,RB,136,,,,,,,,,,,,,,,
13,Seth Roberts,2.75,1.0,-1.75,BAL,WR,95,,1.0,5.0,0.0,0.0,2.0,5.0,0.0,1.104558383,11.44742668,0.106682043,0.008018919,1.793388961,10.36380409,0.006642043
13,Rodney Anderson,0.0,0.0,0.0,CIN,RB,0,,,,,,,,,,,,,,,
13,Javorius Allen,0.0,0.0,0.0,NYG,RB,115,,,,,,,,,,,,,,,
13,Virgil Green,0.59,0.0,-0.59,LAC,TE,67,,,,,,,,,,,,,,,
13,J.J. Nelson,0.0,0.0,0.0,OAK,WR,151,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Javon Wims,6.8,10.0,3.2,CHI,WR,123,,5.0,56.0,0.0,0.0,6.0,11.2,0.0,2.709553302,34.14196932,0.184353243,0.00743127,4.466457955,12.60058966,0.015886539
13,Mo Alie-Cox,5.06,0.0,-5.06,IND,TE,77,,,,,,,,,,,,,,,
13,Chad Beebe,0.0,0.0,0.0,MIN,WR,163,"The Vikings have ranked right around league average in three-plus wide sets during each of Mike Zimmer's five seasons as the team's head coach. That includes 13th (79%) last season. Beebe, who went undrafted last year, made a brief appearance as a rookie, catching all four of his targets for 39 yards. The 25-year-old slot receiver has an opportunity to earn a significant role between Stefon Diggs and Adam Thielen. Minnesota's run-first offense figures to cap Beebe's upside, but there's some fantasy appeal in deep PPR formats.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Anthony Firkser,3.4,5.0,1.6,TEN,TE,48,,,,,,,,,,,,,,,
13,Marcedes Lewis,0.7,7.0,6.3,GB,TE,53,,,,,,,,,,,,,,,
13,Trenton Cannon,0.0,0.0,0.0,NYJ,RB,136,,,,,,,,,,,,,,,
13,Zach Zenner,0.0,0.0,0.0,MIA,RB,124,,,,,,,,,,,,,,,
13,Ben Braunecker,0.0,0.0,0.0,CHI,TE,71,,,,,,,,,,,,,,,
13,Alex Collins,0.0,0.0,0.0,BAL,RB,0,,,,,,,,,,,,,,,
13,Blake Bell,0.79,0.0,-0.79,KC,TE,81,,,,,,,,,,,,,,,
13,Buddy Howell,0.03,0.0,-0.03,HOU,RB,136,,,,,,,,,,,,,,,
13,Lil'Jordan Humphrey,0.0,0.0,0.0,NO,WR,207,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Kerrith Whyte,0.65,1.0,0.35,PIT,RB,104,,,,,,,,,,,,,,,
13,Tyler Kroft,2.56,0.0,-2.56,BUF,TE,69,"Kroft signed with the Bills after spending his first four NFL seasons in Cincinnati. The 2013 third-round pick posted a 42-404-7 line in relief of Tyler Eifert in 2017 but fell behind C.J. Uzomah last season and then was lost for the season with a broken foot. Kroft could snag the occasional touchdown, but he'll spend a lot of time blocking and is a poor bet for consistent fantasy production in Buffalo's run-heavy offense. He's not worth a draft pick.",,,,,,,,,,,,,,
13,Scotty Miller,0.0,0.0,0.0,TB,WR,116,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Luke Falk,0.0,0.0,0.0,NYJ,QB,52,,,,,,,,,,,,,,,
13,Adam Shaheen,0.0,0.0,0.0,CHI,TE,72,"The Bears drafted Shaheen in the second round of the 2017 draft, but the massive 6-foot-6, 278-pound tight end has little fantasy appeal as the blocking complement to Trey Burton. Shaheen missed 10 games last season and handled a grand total of seven targets during the six games he was active. Shaheen could surprise with a half dozen touchdowns, but, barring a Burton injury, simply won't see enough volume to land on the fantasy radar.",,,,,,,,,,,,,,
13,Greg Joseph,0.0,0.0,0.0,TEN,K,41,,,,,,,,,,,,,,,
13,Alex Smith,0.0,0.0,0.0,WSH,QB,0,,,,,,,,,,,,,,,
13,Kenneth Dixon,0.0,0.0,0.0,NYJ,RB,0,"Injuries and suspensions have marred Dixon's career since he was selected in the fourth round of the 2016 draft. Dixon was limited to six games in 2018 but got his career back on track a bit, racking up 333 yards and a pair of touchdowns on 60 rushes. Granted, the sample is small, but Dixon's 5.55 YPC was third-best, his 3.47 YAC topped the position and he paced all backs in Pro Football Focus' Elusive Rating. With a 2.22 YAC, Dixon ranked sixth in the category on 88 carries as a rookie. Dixon has been effective and is only 25 years old, but is on injured reserve and barely worth a dynasty roster spot.",,,,,,,,,,,,,,
13,Gary Jennings,0.0,0.0,0.0,MIA,WR,207,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Malik Turner,2.94,0.0,-2.94,SEA,WR,111,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.180219114,15.46498328,0.126563681,0.005254918,1.797209684,13.10348485,0.006919811
13,Dwayne Washington,0.0,0.0,0.0,NO,RB,122,,,,,,,,,,,,,,,
13,Josh McCown,0.03,0.0,-0.03,PHI,QB,60,,,,,,,,,,,,,,,
13,Luke Stocker,2.74,0.0,-2.74,ATL,TE,88,,,,,,,,,,,,,,,
13,Andrew Beck,0.52,2.0,1.48,DEN,TE,77,,,,,,,,,,,,,,,
13,Jeff Heuerman,0.8,4.0,3.2,DEN,TE,53,"Heuerman made some noise with a random 10-catch game in Week 9 last season, but otherwise failed to post a weekly fantasy finish better than 17th. The 2015 third-round pick has yet to appear in more than 14 games in a regular season and struggled badly with efficiency in a role as a short-area target last season. The 26-year-old is a long shot for fantasy value after Denver drafted Noah Fant in the first round of April's draft.",,,,,,,,,,,,,,
13,Stanley Morgan,3.08,0.0,-3.08,CIN,WR,188,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.490031225,17.98939473,0.099989354,0.003214996,2.412060833,12.07316627,0.008736289
13,Travis Homer,0.0,2.0,2.0,SEA,RB,106,,,,,,,,,,,,,,,
13,Matt Barkley,0.01,0.0,-0.01,BUF,QB,56,,,,,,,,,,,,,,,
13,Kalif Raymond,2.98,11.0,8.02,TEN,WR,134,,1.0,40.0,1.0,0.0,1.0,40.0,0.0,1.269149023,17.65178368,0.114674496,0.004136731,2.024199785,13.90836171,0.007441221
13,Taywan Taylor,0.0,0.0,0.0,CLE,WR,207,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Bradley Sowell,0.0,0.0,0.0,CHI,TE,115,,,,,,,,,,,,,,,
13,Danny Vitale,0.64,0.0,-0.64,GB,RB,100,,,,,,,,,,,,,,,
13,Mike Thomas,0.0,0.0,0.0,LAR,WR,199,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Josh Adams,0.0,0.0,0.0,NYJ,RB,136,,,,,,,,,,,,,,,
13,Trace McSorley,0.0,0.0,0.0,BAL,QB,0,,,,,,,,,,,,,,,
